Date,Marketcap(USD),Price(USD)
01-08-2016,147548000,2.34
02-08-2016,194318000,2.76
03-08-2016,228712000,2.6
04-08-2016,213375000,2.34
05-08-2016,193412000,2.59
06-08-2016,213044000,2.7
07-08-2016,222683000,2.15
08-08-2016,178435000,2.19
09-08-2016,179978000,1.95
10-08-2016,160983000,1.71
11-08-2016,142268000,1.85
12-08-2016,152797000,1.85
13-08-2016,153918000,1.87
14-08-2016,154946000,1.93
15-08-2016,159898000,1.86
16-08-2016,154786000,1.86
17-08-2016,154458000,1.74
18-08-2016,144697000,1.69
19-08-2016,139926000,1.79
20-08-2016,147957000,1.74
21-08-2016,145110000,1.72
22-08-2016,143596000,1.67
23-08-2016,139367000,1.6
24-08-2016,133732000,1.44
25-08-2016,120071000,1.37
26-08-2016,114207000,1.44
27-08-2016,119989000,1.35
28-08-2016,112287000,1.32
29-08-2016,109994000,1.26
30-08-2016,105167000,1.24
31-08-2016,103201000,1.18
01-09-2016,99255000,1.44
02-09-2016,121870000,1.39
03-09-2016,116853000,1.34
04-09-2016,112345000,1.46
05-09-2016,122418000,1.45
06-09-2016,121876000,1.47
07-09-2016,122689000,1.48
08-09-2016,123795000,1.44
09-09-2016,119154000,1.4
10-09-2016,117067000,1.42
11-09-2016,118754000,1.34
12-09-2016,112052000,1.32
13-09-2016,111010000,1.29
14-09-2016,107907000,1.29
15-09-2016,108413000,1.28
16-09-2016,107390000,1.32
17-09-2016,111151000,1.32
18-09-2016,111199000,1.32
19-09-2016,111304000,1.28
20-09-2016,107214000,1.25
21-09-2016,104107000,1.22
22-09-2016,102704000,1.25
23-09-2016,105422000,1.24
24-09-2016,104666000,1.25
25-09-2016,105492000,1.21
26-09-2016,102099000,1.2
27-09-2016,101088000,1.2
28-09-2016,101396000,1.25
29-09-2016,105121000,1.27
30-09-2016,107096000,1.26
01-10-2016,106140000,1.19
02-10-2016,100731000,1.19
03-10-2016,100887000,1.19
04-10-2016,100983000,1.16
05-10-2016,98217700,1.19
06-10-2016,100554000,1.17
07-10-2016,99343800,1.17
08-10-2016,99103100,1.18
09-10-2016,100236000,1.17
10-10-2016,99081600,1.15
11-10-2016,97634800,1.1
12-10-2016,93070700,1.04
13-10-2016,87844800,1.01
14-10-2016,85829400,0.991068
15-10-2016,84120800,0.992573
16-10-2016,84301800,1.2
17-10-2016,101983000,1.07
18-10-2016,91309400,1.06
19-10-2016,89893500,1.05
20-10-2016,89675000,1.04
21-10-2016,88668400,1.03
22-10-2016,87678400,1.05
23-10-2016,89059000,1.05
24-10-2016,89121900,1.03
25-10-2016,87706100,1.02
26-10-2016,86814900,1.03
27-10-2016,87960500,0.995753
28-10-2016,84921800,0.942647
29-10-2016,80282600,0.889612
30-10-2016,75987400,0.927473
31-10-2016,79453400,0.903216
01-11-2016,76991000,0.884664
02-11-2016,75639700,0.885256
03-11-2016,75896300,0.893556
04-11-2016,76454000,0.972006
05-11-2016,83072800,1.04
06-11-2016,89079700,0.982655
07-11-2016,84474700,0.927765
08-11-2016,79709100,0.943784
09-11-2016,80626200,0.913514
10-11-2016,78301200,0.921264
11-11-2016,79151900,0.917606
12-11-2016,78675200,0.909944
13-11-2016,78130300,0.902412
14-11-2016,77279300,0.888597
15-11-2016,76561200,0.922699
16-11-2016,79516300,0.909567
17-11-2016,78162800,0.893229
18-11-2016,76751400,0.871999
19-11-2016,74779900,0.860979
20-11-2016,74089000,0.858533
21-11-2016,73912300,0.850297
22-11-2016,73223900,0.840367
23-11-2016,72179000,0.816454
24-11-2016,70293700,0.769668
25-11-2016,66544000,0.845464
26-11-2016,72456000,0.781978
27-11-2016,67442700,0.778122
28-11-2016,67087300,0.759313
29-11-2016,65578800,0.747909
30-11-2016,64612500,0.748166
01-12-2016,64580700,0.766635
02-12-2016,66309800,0.801643
03-12-2016,69364500,0.772839
04-12-2016,66820700,0.768952
05-12-2016,66510700,0.837907
06-12-2016,72693900,0.782294
07-12-2016,67732800,0.822794
08-12-2016,71428700,0.817662
09-12-2016,70873700,0.809223
10-12-2016,70176700,0.860004
11-12-2016,74443900,0.930446
12-12-2016,80707700,0.908797
13-12-2016,78969100,0.983316
14-12-2016,85382100,0.99484
15-12-2016,86222800,1.08
16-12-2016,94032300,1.07
17-12-2016,92896500,1.01
18-12-2016,87709900,1.05
19-12-2016,92384900,1.2
20-12-2016,104095000,1.14
21-12-2016,98977000,1.14
22-12-2016,99217600,1.1
23-12-2016,95854800,1.05
24-12-2016,91254200,1.12
25-12-2016,97352300,1.07
26-12-2016,93483900,1.04
27-12-2016,91042200,1.05
28-12-2016,91838000,1.11
29-12-2016,97111000,1.43
30-12-2016,124970000,1.55
31-12-2016,135389000,1.41
01-01-2017,123453000,1.4
02-01-2017,122159000,1.44
03-01-2017,125771000,1.49
04-01-2017,130536000,1.76
05-01-2017,154605000,1.61
06-01-2017,142529000,1.51
07-01-2017,132231000,1.44
08-01-2017,126377000,1.45
09-01-2017,127367000,1.41
10-01-2017,123839000,1.43
11-01-2017,125722000,1.18
12-01-2017,103032000,1.22
13-01-2017,106440000,1.21
14-01-2017,106020000,1.2
15-01-2017,105800000,1.19
16-01-2017,104251000,1.18
17-01-2017,103624000,1.21
18-01-2017,106445000,1.2
19-01-2017,105903000,1.17
20-01-2017,103069000,1.34
21-01-2017,118279000,1.41
22-01-2017,124520000,1.38
23-01-2017,122297000,1.41
24-01-2017,122697000,1.36
25-01-2017,119962000,1.29
26-01-2017,113854000,1.33
27-01-2017,117575000,1.28
28-01-2017,113059000,1.3
29-01-2017,115225000,1.3
30-01-2017,114748000,1.35
31-01-2017,119181000,1.36
01-02-2017,120212000,1.36
02-02-2017,119811000,1.36
03-02-2017,120305000,1.36
04-02-2017,120607000,1.39
05-02-2017,123124000,1.39
06-02-2017,123057000,1.47
07-02-2017,130982000,1.47
08-02-2017,130979000,1.45
09-02-2017,129031000,1.27
10-02-2017,113045000,1.26
11-02-2017,111538000,1.24
12-02-2017,109633000,1.23
13-02-2017,108925000,1.19
14-02-2017,106179000,1.25
15-02-2017,110928000,1.26
16-02-2017,112162000,1.24
17-02-2017,109732000,1.23
18-02-2017,109624000,1.22
19-02-2017,108590000,1.22
20-02-2017,108897000,1.22
21-02-2017,108797000,1.24
22-02-2017,110732000,1.21
23-02-2017,108040000,1.22
24-02-2017,109710000,1.21
25-02-2017,107563000,1.21
26-02-2017,108135000,1.25
27-02-2017,111240000,1.23
28-02-2017,110317000,1.24
01-03-2017,110412000,1.4
02-03-2017,124927000,1.36
03-03-2017,122017000,1.44
04-03-2017,128748000,1.43
05-03-2017,128238000,1.4
06-03-2017,125032000,1.43
07-03-2017,128228000,1.37
08-03-2017,122982000,1.29
09-03-2017,115319000,1.32
10-03-2017,118799000,1.3
11-03-2017,116335000,1.38
12-03-2017,124142000,1.42
13-03-2017,127735000,1.65
14-03-2017,148130000,1.66
15-03-2017,148644000,1.8
16-03-2017,162466000,2.13
17-03-2017,187614000,1.91
18-03-2017,171119000,1.7
19-03-2017,153490000,1.92
20-03-2017,173892000,1.95
21-03-2017,175087000,2.43
22-03-2017,218160000,2.4
23-03-2017,215468000,2.29
24-03-2017,206033000,2.41
25-03-2017,218022000,2.28
26-03-2017,205706000,2.31
27-03-2017,212515000,2.13
28-03-2017,192717000,2.27
29-03-2017,204442000,2.33
30-03-2017,209841000,2.83
31-03-2017,252768000,2.83
01-04-2017,254292000,2.76
02-04-2017,248588000,2.64
03-04-2017,239440000,2.6
04-04-2017,235018000,2.67
05-04-2017,241974000,2.76
06-04-2017,248631000,2.68
07-04-2017,241422000,2.73
08-04-2017,244756000,2.72
09-04-2017,245821000,2.64
10-04-2017,239316000,2.6
11-04-2017,235280000,2.54
12-04-2017,229734000,2.62
13-04-2017,237470000,2.62
14-04-2017,238045000,2.64
15-04-2017,239360000,2.68
16-04-2017,242861000,2.63
17-04-2017,238216000,2.62
18-04-2017,237684000,2.89
19-04-2017,261650000,3.14
20-04-2017,286485000,3.28
21-04-2017,297930000,3.18
22-04-2017,289096000,3.23
23-04-2017,293703000,3.54
24-04-2017,324863000,4.05
25-04-2017,368833000,3.96
26-04-2017,361613000,4.59
27-04-2017,418466000,4.95
28-04-2017,450848000,4.84
29-04-2017,444253000,5.42
30-04-2017,496272000,6.52
01-05-2017,591840000,6.89
02-05-2017,632910000,6.58
03-05-2017,597190000,6.67
04-05-2017,609121000,7.63
05-05-2017,701217000,7.53
06-05-2017,689342000,7.27
07-05-2017,666100000,7.12
08-05-2017,650286000,6.66
09-05-2017,609381000,6.44
10-05-2017,587732000,6.6
11-05-2017,605901000,6.48
12-05-2017,592771000,6.34
13-05-2017,579371000,6.14
14-05-2017,565543000,6.83
15-05-2017,625436000,6.41
16-05-2017,585399000,6.26
17-05-2017,571892000,5.93
18-05-2017,543449000,6.73
19-05-2017,616144000,7.99
20-05-2017,733122000,7.41
21-05-2017,678664000,9.4
22-05-2017,826321000,9.9
23-05-2017,915912000,11.94
24-05-2017,1104910000,18.87
25-05-2017,1767600000,16.35
26-05-2017,1519550000,14.26
27-05-2017,1282250000,16.26
28-05-2017,1523730000,16.13
29-05-2017,1494310000,17.1
30-05-2017,1577830000,18.54
31-05-2017,1726710000,17.68
01-06-2017,1624040000,16.83
02-06-2017,1552150000,17.38
03-06-2017,1603910000,16.26
04-06-2017,1508760000,17.48
05-06-2017,1607200000,17.31
06-06-2017,1601600000,17.49
07-06-2017,1615920000,17.51
08-06-2017,1619690000,17.54
09-06-2017,1620430000,17.45
10-06-2017,1612890000,19.66
11-06-2017,1803650000,21.57
12-06-2017,1995200000,20.33
13-06-2017,1874700000,20.74
14-06-2017,1921790000,18.84
15-06-2017,1746400000,18.36
16-06-2017,1697750000,18.4
17-06-2017,1703170000,23.27
18-06-2017,2134890000,22.07
19-06-2017,2044860000,22.95
20-06-2017,2135600000,21.68
21-06-2017,2013030000,20.7
22-06-2017,1927380000,20.79
23-06-2017,1931450000,21.34
24-06-2017,1984090000,20.19
25-06-2017,1871250000,21.42
26-06-2017,2001190000,19.58
27-06-2017,1830180000,19.14
28-06-2017,1782010000,19.65
29-06-2017,1825930000,18.66
30-06-2017,1731060000,18.92
01-07-2017,1745950000,17.81
02-07-2017,1652150000,17.91
03-07-2017,1669210000,17.85
04-07-2017,1662670000,18.05
05-07-2017,1682750000,17.77
06-07-2017,1657550000,17.91
07-07-2017,1675380000,16.75
08-07-2017,1562560000,16.99
09-07-2017,1584440000,16.26
10-07-2017,1516460000,15.48
11-07-2017,1421880000,14.72
12-07-2017,1373170000,19.94
13-07-2017,1874350000,18.36
14-07-2017,1722240000,17.55
15-07-2017,1646950000,14.77
16-07-2017,1376490000,14.18
17-07-2017,1348150000,15.5
18-07-2017,1451740000,16.4
19-07-2017,1538640000,14.83
20-07-2017,1400840000,16.06
21-07-2017,1510790000,16.14
22-07-2017,1511020000,16.51
23-07-2017,1549590000,15.78
24-07-2017,1486560000,15.88
25-07-2017,1491550000,14.92
26-07-2017,1395600000,14.77
27-07-2017,1390780000,14.66
28-07-2017,1376840000,14.16
29-07-2017,1330870000,14.4
30-07-2017,1347810000,13.81
31-07-2017,1295940000,14
01-08-2017,1319170000,14.57
02-08-2017,1374450000,14.77
03-08-2017,1390050000,15.37
04-08-2017,1447760000,15.04
05-08-2017,1415870000,15.93
06-08-2017,1504680000,15.35
07-08-2017,1445300000,15.31
08-08-2017,1442970000,15.88
09-08-2017,1497320000,15.38
10-08-2017,1453210000,15.19
11-08-2017,1431410000,15.17
12-08-2017,1433430000,14.81
13-08-2017,1396350000,14.3
14-08-2017,1350180000,14.08
15-08-2017,1330550000,13.69
16-08-2017,1294140000,14.19
17-08-2017,1346400000,13.93
18-08-2017,1314260000,13.81
19-08-2017,1311790000,13.7
20-08-2017,1295520000,13.89
21-08-2017,1316110000,14.56
22-08-2017,1380860000,14.39
23-08-2017,1372030000,15.29
24-08-2017,1456290000,15.14
25-08-2017,1434760000,15.28
26-08-2017,1450080000,15.29
27-08-2017,1449670000,16.02
28-08-2017,1527600000,15.79
29-08-2017,1499090000,15.79
30-08-2017,1500740000,15.66
31-08-2017,1489950000,16.38
01-09-2017,1559510000,21.94
02-09-2017,2096550000,20.08
03-09-2017,1920050000,18.57
04-09-2017,1764650000,15.84
05-09-2017,1506490000,16.58
06-09-2017,1579610000,19.02
07-09-2017,1810900000,17.81
08-09-2017,1701770000,15.2
09-09-2017,1443530000,14.89
10-09-2017,1415090000,13.66
11-09-2017,1299470000,14.61
12-09-2017,1399560000,14.44
13-09-2017,1379350000,14.11
14-09-2017,1341200000,9.13
15-09-2017,868471000,10.24
16-09-2017,978667000,9.93
17-09-2017,948141000,10.02
18-09-2017,957337000,11.79
19-09-2017,1131850000,11.48
20-09-2017,1094120000,11.25
21-09-2017,1072660000,10.07
22-09-2017,967000000,10.26
23-09-2017,978077000,10.61
24-09-2017,1016090000,10.44
25-09-2017,997582000,10.86
26-09-2017,1041640000,11.24
27-09-2017,1077120000,12.65
